Altitude,Temperature,Pressure,Density,Speed_of_sound
0,288.15,101325,1.225,340.294065
7.5,288.10125,101234.933896,1.224118,340.265278
15,288.0525,101144.932628,1.223237,340.236488
22.5,288.00375,101054.996163,1.222356,340.207696
30,287.955,100965.124462,1.221476,340.178902
37.5,287.90625,100875.317492,1.220596,340.150105
45,287.8575,100785.575216,1.219717,340.121306
52.5,287.80875,100695.897599,1.218838,340.092504
60,287.76,100606.284605,1.217959,340.0637
67.5,287.71125,100516.736198,1.217081,340.034893
75,287.6625,100427.252342,1.216204,340.006084
82.5,287.61375,100337.833003,1.215327,339.977272
90,287.565,100248.478145,1.214451,339.948458
97.5,287.51625,100159.187732,1.213575,339.919642
105,287.4675,100069.961727,1.212699,339.890823
112.5,287.41875,99980.800097,1.211824,339.862002
120,287.37,99891.702805,1.21095,339.833178
127.5,287.32125,99802.669816,1.210076,339.804352
135,287.2725,99713.701095,1.209202,339.775523
142.5,287.22375,99624.796605,1.208329,339.746692
150,287.175,99535.956311,1.207456,339.717859
157.5,287.12625,99447.180178,1.206584,339.689023
165,287.0775,99358.468171,1.205713,339.660184
172.5,287.02875,99269.820253,1.204842,339.631343
180,286.98,99181.23639,1.203971,339.6025
187.5,286.93125,99092.716546,1.203101,339.573654
195,286.8825,99004.260686,1.202231,339.544806
202.5,286.83375,98915.868774,1.201362,339.515955
210,286.785,98827.540775,1.200493,339.487102
217.5,286.73625,98739.276654,1.199625,339.458246
225,286.6875,98651.076375,1.198757,339.429388
232.5,286.63875,98562.939903,1.19789,339.400528
240,286.59,98474.867202,1.197023,339.371665
247.5,286.54125,98386.858238,1.196157,339.3428
255,286.4925,98298.912975,1.195291,339.313932
262.5,286.44375,98211.031377,1.194425,339.285061
270,286.395,98123.21341,1.19356,339.256189
277.5,286.34625,98035.459038,1.192696,339.227313
285,286.2975,97947.768226,1.191832,339.198436
292.5,286.24875,97860.140938,1.190969,339.169556
300,286.2,97772.577141,1.190106,339.140673
307.5,286.15125,97685.076797,1.189243,339.111788
315,286.1025,97597.639873,1.188381,339.0829
322.5,286.05375,97510.266332,1.18752,339.05401
330,286.005,97422.956141,1.186659,339.025118
337.5,285.95625,97335.709263,1.185798,338.996223
345,285.9075,97248.525663,1.184938,338.967326
352.5,285.85875,97161.405307,1.184078,338.938426
360,285.81,97074.34816,1.183219,338.909523
367.5,285.76125,96987.354185,1.18236,338.880619
375,285.7125,96900.423349,1.181502,338.851711
382.5,285.66375,96813.555615,1.180644,338.822802
390,285.615,96726.75095,1.179787,338.79389
397.5,285.56625,96640.009318,1.17893,338.764975
405,285.5175,96553.330684,1.178074,338.736058
412.5,285.46875,96466.715012,1.177218,338.707138
420,285.42,96380.162269,1.176363,338.678216
427.5,285.37125,96293.672419,1.175508,338.649292
435,285.3225,96207.245426,1.174654,338.620365
442.5,285.27375,96120.881257,1.1738,338.591435
450,285.225,96034.579876,1.172946,338.562503
457.5,285.17625,95948.341248,1.172093,338.533569
465,285.1275,95862.165338,1.171241,338.504632
472.5,285.07875,95776.052112,1.170389,338.475693
480,285.03,95690.001534,1.169537,338.446751
487.5,284.98125,95604.013569,1.168686,338.417807
495,284.9325,95518.088184,1.167836,338.38886
502.5,284.88375,95432.225342,1.166986,338.359911
510,284.835,95346.42501,1.166136,338.330959
517.5,284.78625,95260.687151,1.165287,338.302005
525,284.7375,95175.011733,1.164438,338.273048
532.5,284.68875,95089.398718,1.16359,338.244089
540,284.64,95003.848074,1.162742,338.215127
547.5,284.59125,94918.359765,1.161895,338.186163
555,284.5425,94832.933756,1.161048,338.157197
562.5,284.49375,94747.570013,1.160202,338.128227
570,284.445,94662.2685,1.159356,338.099256
577.5,284.39625,94577.029184,1.15851,338.070282
585,284.3475,94491.852029,1.157665,338.041305
592.5,284.29875,94406.737002,1.156821,338.012326
600,284.25,94321.684066,1.155977,337.983345
607.5,284.20125,94236.693187,1.155133,337.954361
615,284.1525,94151.764332,1.15429,337.925374
622.5,284.10375,94066.897464,1.153448,337.896385
630,284.055,93982.09255,1.152606,337.867394
637.5,284.00625,93897.349556,1.151764,337.8384
645,283.9575,93812.668445,1.150923,337.809404
652.5,283.90875,93728.049184,1.150082,337.780405
660,283.86,93643.491739,1.149242,337.751403
667.5,283.81125,93558.996074,1.148402,337.722399
675,283.7625,93474.562155,1.147563,337.693393
682.5,283.71375,93390.189948,1.146724,337.664384
690,283.665,93305.879418,1.145886,337.635373
697.5,283.61625,93221.63053,1.145048,337.606359
705,283.5675,93137.443251,1.144211,337.577343
712.5,283.51875,93053.317545,1.143374,337.548324
720,283.47,92969.253379,1.142537,337.519302
727.5,283.42125,92885.250717,1.141701,337.490279
735,283.3725,92801.309525,1.140866,337.461252
742.5,283.32375,92717.429769,1.140031,337.432223
750,283.275,92633.611415,1.139196,337.403192
757.5,283.22625,92549.854428,1.138362,337.374158
765,283.1775,92466.158773,1.137528,337.345122
772.5,283.12875,92382.524417,1.136695,337.316083
