itype,site,wmo,ident,range_gate_m,ripple_period_m,ripple_gates,ripple_f_MHz,rel_amp_pct,split_half_repro,undamped_ratio,correction_mode,temp_slope_per_C,correctable
CL51,UCCLE(ref),0-20000-0-06447,A,10,40.0,4.00,3.747,9.44,1.000,0.99,gate-fold N=4,nan,1
CL51,DIEPENBEEK,0-20000-0-06477,A,10,40.0,4.00,3.747,4.92,0.999,0.96,gate-fold N=4,-0.01691,1
CL51,CHILBOLTON_ALC,0-826-300-3,A,10,77.2,7.72,1.942,1.83,0.965,0.80,gate-fold N=8,-0.003284,1
CL51,KUOPIO_VEHMASMAKI,0-246-0-101581,A,10,252.2,25.22,0.594,1.55,0.788,0.70,empirical-FT,0.01983,1
CL51,HYLTEMOSSA,0-20008-0-HTM,A,10,74.8,7.48,2.004,1.36,0.787,0.60,none,0.008963,0
CL51,AQUILA,0-20008-0-CEO,A,10,59.8,5.98,2.507,1.12,0.928,0.23,none,0.02673,0
CL51,WIEN_HOHE_WARTE,0-20000-0-11035,A,10,71.2,7.12,2.105,1.09,0.912,0.15,none,0.004067,0
CL51,CAO-NICOSIA,0-196-0-CYPN,A,10,83.8,8.38,1.789,1.03,0.944,0.14,none,0.02333,0
CL51,TENERIFE_SANTA_CRUZ,0-20000-0-60022,A,10,503.6,50.36,0.298,0.82,0.862,0.05,none,-0.01428,0
CL51,CHEB,0-20000-0-11406,A,10,41.6,4.16,3.603,0.80,0.899,0.24,none,nan,0
CL51,KOLN_ZULPICHER_WALL,0-276-13-19987,A,10,448.0,44.80,0.335,0.79,0.979,0.02,none,0.07095,0
CL31,LERWICK,0-20000-0-03005,B,20,76.0,3.80,1.972,10.19,0.785,1.48,gate-fold N=3,-0.07649,1
CL31,AKROTIRI,0-20000-0-17601,A,20,45.4,2.27,3.302,8.34,0.768,1.48,gate-fold N=2,0.003864,1
CL31,PAYERNE(hood),0-20000-0-06610,B,10,77.6,7.76,1.932,5.85,0.763,1.63,gate-fold N=7,0.01398,1
CL31,DELEMONT,0-20000-0-06602,A,10,67.4,6.74,2.224,3.84,0.831,1.29,gate-fold N=6,0.01304,1
CL31,EVASO,0-620-3704-5480,A,10,78.0,7.80,1.922,3.56,0.980,2.61,gate-fold N=7,0.007833,1
CL31,CAEN,0-20000-0-07027,A,10,67.2,6.72,2.231,3.25,0.836,1.31,gate-fold N=7,0.008444,1
CL31,PAJALA,0-20000-0-02095,A,10,40.0,4.00,3.747,10.81,0.505,1.47,none,0.0476,0
CL31,ATHENS_OBSERVATORY,0-20000-0-16714,A,20,337.4,16.87,0.444,7.32,0.939,0.14,none,0.01224,0
CL31,LEON,0-20000-0-08055,A,10,43.2,4.32,3.470,3.44,0.617,0.13,none,0.008618,0
CL31,KLEINE_BROGEL,0-20000-0-06479,A,20,58.8,2.94,2.549,1.59,0.890,0.15,none,0.002495,0
CL61,LAUDER,0-20008-0-LAU,A,5,nan,nan,nan,3.18,0.078,0.81,none,-1.261e-11,0
CL61,CAMBORNE,0-20000-0-03808,C,5,49.2,10.26,3.044,1.64,0.102,0.67,none,-1.482e-10,0
CL61,LANZHOT,0-203-10-LNG,A,5,nan,nan,nan,1.14,0.991,0.04,none,5.147e-11,0
CL61,SION_EPFL_ALPOLE,0-756-4-EERLCL61,A,5,nan,nan,nan,1.06,0.989,0.04,none,4.886e-11,0
CL61,BIRKENES,0-20008-0-BIR,A,5,573.9,119.58,0.261,0.95,0.796,0.19,none,8.774e-12,0
CL61,SAINT-CHRISTOPHE_AOSTA,0-380-5-1,B,5,nan,nan,nan,0.86,0.958,0.08,none,3.333e-11,0
CL61,UCCLE,0-20000-0-06447,B,5,1027.9,214.15,0.146,0.84,0.940,0.09,none,2.008e-10,0
CL61,TEMELIN,0-20000-0-11538,B,5,nan,nan,nan,0.70,0.979,0.06,none,2.153e-10,0
CL61,LINDENBERG,0-20000-0-10393,C,5,nan,nan,nan,0.68,0.965,0.07,none,nan,0
CL61,ZEEBRUGGE,0-20000-0-06418,B,5,677.3,141.10,0.221,0.65,0.896,0.13,none,-4.441e-11,0
