wmo,ident,site,date,ratio_to_yearly_normal,n_prof
0-100-20000-000627,A,PLOVDIV_UNI,20250102,0.0000,1047
0-100-20000-000627,A,PLOVDIV_UNI,20250109,0.0000,1920
0-20000-0-01001,A,JAN_MAYEN,20250518,0.1151,1920
0-20000-0-01001,A,JAN_MAYEN,20250519,0.1168,1920
0-20000-0-01001,A,JAN_MAYEN,20250821,0.1197,1907
0-20000-0-01010,A,ANDOYA,20250107,0.0596,894
0-20000-0-01010,A,ANDOYA,20250202,0.0498,1920
0-20000-0-01010,A,ANDOYA,20250429,0.0815,1920
0-20000-0-01010,A,ANDOYA,20250523,0.0707,1920
0-20000-0-01010,A,ANDOYA,20250623,0.0694,1920
0-20000-0-01010,A,ANDOYA,20250627,0.0661,1920
0-20000-0-01010,A,ANDOYA,20250829,0.0570,1920
0-20000-0-01010,A,ANDOYA,20251122,0.0529,1920
0-20000-0-01010,A,ANDOYA,20251211,0.0867,1920
0-20000-0-01010,A,ANDOYA,20260101,0.1270,1920
0-20000-0-01010,A,ANDOYA,20260110,0.1027,1920
0-20000-0-01010,A,ANDOYA,20260120,0.0608,1920
0-20000-0-01010,A,ANDOYA,20260121,0.0749,1920
0-20000-0-01010,A,ANDOYA,20260122,0.0743,1907
0-20000-0-01010,A,ANDOYA,20260123,0.0618,1920
0-20000-0-01010,A,ANDOYA,20260411,0.0862,1920
0-20000-0-01010,A,ANDOYA,20260417,0.1110,1920
0-20000-0-01010,A,ANDOYA,20260418,0.1204,1920
0-20000-0-01010,A,ANDOYA,20260806,0.0979,1920
0-20000-0-01062,A,HOPEN,20250409,0.0267,1920
0-20000-0-01311,A,FLESLAND,20250104,0.0339,1920
0-20000-0-01311,A,FLESLAND,20250209,0.0595,1920
0-20000-0-01311,A,FLESLAND,20250210,0.0510,1896
0-20000-0-01311,A,FLESLAND,20250211,0.0533,1906
0-20000-0-01311,A,FLESLAND,20250212,0.0529,1920
0-20000-0-01311,A,FLESLAND,20250215,0.0511,1920
0-20000-0-01311,A,FLESLAND,20250218,0.0530,1920
0-20000-0-01311,A,FLESLAND,20250222,0.0322,1920
0-20000-0-01311,A,FLESLAND,20250224,0.1046,1920
0-20000-0-01311,A,FLESLAND,20250322,0.0699,1920
0-20000-0-01311,A,FLESLAND,20250424,0.1259,1907
0-20000-0-01311,A,FLESLAND,20250504,0.0931,1920
0-20000-0-01311,A,FLESLAND,20250515,0.1073,1920
0-20000-0-01311,A,FLESLAND,20250516,0.0975,1920
0-20000-0-01311,A,FLESLAND,20250518,0.1121,1920
0-20000-0-01311,A,FLESLAND,20250519,0.0932,1920
0-20000-0-01311,A,FLESLAND,20250520,0.1163,1920
0-20000-0-01311,A,FLESLAND,20250521,0.1261,1920
0-20000-0-01311,A,FLESLAND,20250523,0.0936,1920
0-20000-0-01311,A,FLESLAND,20251120,0.1119,1920
0-20000-0-01311,A,FLESLAND,20260107,0.0656,1920
0-20000-0-01311,A,FLESLAND,20260122,0.0830,1907
0-20000-0-01311,A,FLESLAND,20260123,0.0954,1920
0-20000-0-01311,A,FLESLAND,20260127,0.0699,1920
0-20000-0-01311,A,FLESLAND,20260421,0.1104,1920
0-20000-0-03005,A,LERWICK,20250515,0.1166,961
0-20000-0-03005,A,LERWICK,20250516,0.1217,961
0-20000-0-03005,A,LERWICK,20260429,0.0370,954
0-20000-0-03005,A,LERWICK,20260430,0.0347,552
0-20000-0-03018,A,STORNOWAY,20250207,0.0730,960
0-20000-0-03018,A,STORNOWAY,20260714,0.1089,960
0-20000-0-03023,A,SOUTH_UIST,20250209,0.1332,960
0-20000-0-03023,A,SOUTH_UIST,20250403,0.1482,960
0-20000-0-03023,A,SOUTH_UIST,20250409,0.0705,960
0-20000-0-03023,A,SOUTH_UIST,20260714,0.1140,960
0-20000-0-03502,A,ABERPORTH,20250711,0.1279,960
0-20000-0-03808,A,CAMBORNE,20250115,0.0561,1920
0-20000-0-03808,A,CAMBORNE,20250411,0.1369,1920
0-20000-0-03838,A,EXETER,20250307,0.0001,373
0-20000-0-03838,A,EXETER,20250308,0.0001,960
0-20000-0-03838,A,EXETER,20250309,0.0001,960
0-20000-0-03838,A,EXETER,20250724,0.0001,960
0-20000-0-03838,A,EXETER,20250725,0.0001,960
0-20000-0-03838,A,EXETER,20250726,0.0001,960
0-20000-0-03838,A,EXETER,20250727,0.0001,960
0-20000-0-03838,A,EXETER,20250728,0.0001,952
0-20000-0-03838,A,EXETER,20250729,0.0001,960
0-20000-0-03838,A,EXETER,20250730,0.0001,960
0-20000-0-03838,A,EXETER,20250731,0.0001,960
0-20000-0-03838,A,EXETER,20250801,0.0001,960
0-20000-0-03838,A,EXETER,20250802,0.0001,960
0-20000-0-03838,A,EXETER,20250803,0.0001,960
0-20000-0-03838,A,EXETER,20250804,0.0001,960
0-20000-0-03838,A,EXETER,20250805,0.0001,960
0-20000-0-03838,A,EXETER,20250806,0.0001,954
0-20000-0-03838,A,EXETER,20250807,0.0001,960
0-20000-0-03838,A,EXETER,20250808,0.0001,960
0-20000-0-03838,A,EXETER,20250809,0.0001,960
0-20000-0-03838,A,EXETER,20250810,0.0001,960
0-20000-0-03838,A,EXETER,20250811,0.0001,960
0-20000-0-03838,A,EXETER,20250812,0.0001,440
0-20000-0-03917,A,ALDERGROVE,20250516,0.1472,960
0-20000-0-06215,A,VOORSCHOTEN,20251226,0.1363,2400
0-20000-0-06235,A,DE_KOOY,20251225,0.1304,2392
0-20000-0-06240,A,AMSTERDAM_AP_SCHIPHOL,20251225,0.1270,2392
0-20000-0-06240,A,AMSTERDAM_AP_SCHIPHOL,20251226,0.1285,2400
0-20000-0-06240,B,AMSTERDAM_AP_SCHIPHOL,20251225,0.1170,2392
0-20000-0-06240,B,AMSTERDAM_AP_SCHIPHOL,20251226,0.1019,2400
0-20000-0-06240,C,AMSTERDAM_AP_SCHIPHOL,20251225,0.1198,2392
0-20000-0-06240,C,AMSTERDAM_AP_SCHIPHOL,20251226,0.1214,2400
0-20000-0-06240,D,AMSTERDAM_AP_SCHIPHOL,20251225,0.1203,2392
0-20000-0-06240,D,AMSTERDAM_AP_SCHIPHOL,20251226,0.1239,2400
0-20000-0-06242,A,VLIELAND,20251225,0.0827,2392
0-20000-0-06242,A,VLIELAND,20251226,0.0837,2400
0-20000-0-06260,A,DEBILT,20251226,0.1472,2400
0-20000-0-06267,A,STAVOREN,20251225,0.1055,2392
0-20000-0-06267,A,STAVOREN,20251226,0.1417,2400
0-20000-0-06269,A,LELYSTAD_AP,20251225,0.0743,2367
0-20000-0-06269,A,LELYSTAD_AP,20251226,0.0906,2400
0-20000-0-06270,A,LEEUWARDEN,20250520,0.1479,2400
0-20000-0-06270,A,LEEUWARDEN,20251225,0.0703,2392
0-20000-0-06270,A,LEEUWARDEN,20251226,0.0658,2400
0-20000-0-06275,A,DEELEN,20251225,0.1283,2392
0-20000-0-06275,A,DEELEN,20251226,0.1174,2400
0-20000-0-06279,A,HOOGEVEEN,20251225,0.0835,2392
0-20000-0-06279,A,HOOGEVEEN,20251226,0.1034,2400
0-20000-0-06280,A,GRONINGEN_AP_EELDE,20251225,0.0931,2392
0-20000-0-06280,A,GRONINGEN_AP_EELDE,20251226,0.0893,2400
0-20000-0-06290,A,TWENTHE,20251225,0.1243,2392
0-20000-0-06290,A,TWENTHE,20251226,0.1480,2400
0-20000-0-06310,A,VLISSINGEN,20260225,0.1240,2400
0-20000-0-06310,A,VLISSINGEN,20260424,0.0972,2400
0-20000-0-06344,A,ROTTERDAM_THE_HAGUE_AP,20251226,0.1186,2400
0-20000-0-06350,A,GILZE_RIJEN,20251226,0.1495,2400
0-20000-0-06610,A,PAYERNE,20260526,0.0744,1920
0-20000-0-06610,A,PAYERNE,20260527,0.0705,1886
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20190114,0.0380,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20190115,0.0385,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20210316,0.0326,796
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20210317,0.0502,957
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20210319,0.0357,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20210320,0.0541,957
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20211106,0.1500,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20220112,0.1461,957
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20220117,0.1445,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20220402,0.0370,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20221105,0.0393,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20231202,0.0166,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20231203,0.0167,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20231205,0.0179,960
0-20000-0-06736,A,KLEINE_SCHEIDEGG,20231206,0.0187,960
